tower_id,latitude,longitude,operator,technology,data_source
32481301,31.459,74.2812,1,LTE,REAL PUBLIC DATA
32481303,31.4566,74.2781,1,LTE,REAL PUBLIC DATA
31608341,31.4548,74.2757,1,LTE,REAL PUBLIC DATA
31608343,31.454,74.2746,1,LTE,REAL PUBLIC DATA
31608342,31.4523,74.2723,1,LTE,REAL PUBLIC DATA
32481046,31.4508,74.2708,1,LTE,REAL PUBLIC DATA
32480791,31.448,74.2695,1,LTE,REAL PUBLIC DATA
32480790,31.4434,74.2679,1,LTE,REAL PUBLIC DATA
33078551,31.4432,74.2681,1,LTE,REAL PUBLIC DATA
32451605,31.4393,74.2652,1,LTE,REAL PUBLIC DATA
32451595,31.4376,74.263,1,LTE,REAL PUBLIC DATA
32216332,31.4363,74.2606,1,LTE,REAL PUBLIC DATA
33111563,31.4339,74.2569,1,LTE,REAL PUBLIC DATA
33111564,31.4321,74.2545,1,LTE,REAL PUBLIC DATA
32479755,31.4302,74.2522,1,LTE,REAL PUBLIC DATA
32479757,31.4213,74.2478,1,LTE,REAL PUBLIC DATA
33198089,31.4144,74.2541,1,LTE,REAL PUBLIC DATA
33198088,31.411,74.2594,1,LTE,REAL PUBLIC DATA
33025794,31.4126,74.264,1,LTE,REAL PUBLIC DATA
30931972,31.4091,74.2616,1,LTE,REAL PUBLIC DATA
32260619,31.4057,74.2582,1,LTE,REAL PUBLIC DATA
32260621,31.4024,74.2586,1,LTE,REAL PUBLIC DATA
32452109,31.3969,74.2606,1,LTE,REAL PUBLIC DATA
32452108,31.3952,74.2619,1,LTE,REAL PUBLIC DATA
32260612,31.4101,74.2639,1,LTE,REAL PUBLIC DATA
32479747,31.4237,74.2545,1,LTE,REAL PUBLIC DATA
32768257,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
33111554,31.4327,74.2648,1,LTE,REAL PUBLIC DATA
33111553,31.4335,74.2632,1,LTE,REAL PUBLIC DATA
33073665,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
32480809,31.44,74.2733,1,LTE,REAL PUBLIC DATA
31608322,31.439,74.2699,1,LTE,REAL PUBLIC DATA
31491074,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
32480812,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
32482562,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
30820353,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
30723585,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
31109378,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
31109377,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
30725410,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
30725409,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
33225219,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
31063809,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
32337922,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
32337921,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
31518980,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
31500803,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
31500801,31.3975,74.2605,1,LTE,REAL PUBLIC DATA
31511821,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
30791688,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
31550722,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
30725417,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
31109379,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
32483847,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
32483331,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
32483075,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
33080323,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
32483073,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
32483074,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
31798017,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
31798018,31.5594,74.3498,1,LTE,REAL PUBLIC DATA
33082146,31.4702,74.3002,1,LTE,REAL PUBLIC DATA
32451587,31.4706,74.3011,1,LTE,REAL PUBLIC DATA
32216327,31.4492,74.2766,1,LTE,REAL PUBLIC DATA
32768259,31.4706,74.3011,1,LTE,REAL PUBLIC DATA
32116993,31.4706,74.3011,1,LTE,REAL PUBLIC DATA
32335617,31.4706,74.3011,1,LTE,REAL PUBLIC DATA
32260610,31.4119,74.266,1,LTE,REAL PUBLIC DATA
33082143,31.4715,74.2999,1,LTE,REAL PUBLIC DATA
31798019,31.4723,74.298,1,LTE,REAL PUBLIC DATA
33082166,31.4726,74.2972,1,LTE,REAL PUBLIC DATA
32772099,31.4677,74.3168,1,LTE,REAL PUBLIC DATA
32772097,31.4698,74.3182,1,LTE,REAL PUBLIC DATA
31078914,31.4652,74.3145,1,LTE,REAL PUBLIC DATA
31078915,31.4662,74.3107,1,LTE,REAL PUBLIC DATA
32772609,31.4674,74.3078,1,LTE,REAL PUBLIC DATA
32772611,31.4683,74.3057,1,LTE,REAL PUBLIC DATA
32976137,31.4759,74.3407,1,LTE,REAL PUBLIC DATA
32976129,31.475,74.3421,1,LTE,REAL PUBLIC DATA
32976131,31.4766,74.3386,1,LTE,REAL PUBLIC DATA
30774795,31.4765,74.3364,1,LTE,REAL PUBLIC DATA
32285954,31.4758,74.3345,1,LTE,REAL PUBLIC DATA
32285955,31.475,74.3317,1,LTE,REAL PUBLIC DATA
30776066,31.4738,74.3279,1,LTE,REAL PUBLIC DATA
31777031,31.4737,74.3276,1,LTE,REAL PUBLIC DATA
31777025,31.4729,74.3248,1,LTE,REAL PUBLIC DATA
31489794,31.4721,74.3225,1,LTE,REAL PUBLIC DATA
31568653,31.4714,74.32,1,LTE,REAL PUBLIC DATA
31489795,31.4711,74.3192,1,LTE,REAL PUBLIC DATA
32204547,31.4646,74.3153,1,LTE,REAL PUBLIC DATA
31078925,31.4662,74.3106,1,LTE,REAL PUBLIC DATA
33082133,31.4702,74.3007,1,LTE,REAL PUBLIC DATA
30759959,31.4697,74.2996,1,LTE,REAL PUBLIC DATA
32216342,31.4359,74.2599,1,LTE,REAL PUBLIC DATA
31613973,31.4343,74.2574,1,LTE,REAL PUBLIC DATA
32216343,31.4321,74.2545,1,LTE,REAL PUBLIC DATA
32769558,31.4307,74.2527,1,LTE,REAL PUBLIC DATA
32479765,31.4286,74.2502,1,LTE,REAL PUBLIC DATA
32768277,31.4269,74.2478,1,LTE,REAL PUBLIC DATA
32479767,31.4227,74.2473,1,LTE,REAL PUBLIC DATA
33198104,31.4152,74.2521,1,LTE,REAL PUBLIC DATA
33198103,31.413,74.2565,1,LTE,REAL PUBLIC DATA
33025815,31.4106,74.2599,1,LTE,REAL PUBLIC DATA
30931992,31.4082,74.2605,1,LTE,REAL PUBLIC DATA
32260629,31.4054,74.2578,1,LTE,REAL PUBLIC DATA
32260611,31.4032,74.2576,1,LTE,REAL PUBLIC DATA
33062147,31.4171,74.269,1,LTE,REAL PUBLIC DATA
33062146,31.4194,74.2712,1,LTE,REAL PUBLIC DATA
33062145,31.4205,74.2722,1,LTE,REAL PUBLIC DATA
33072129,31.4213,74.2729,1,LTE,REAL PUBLIC DATA
32439555,31.422,74.275,1,LTE,REAL PUBLIC DATA
32439554,31.4206,74.2789,1,LTE,REAL PUBLIC DATA
33067818,31.4223,74.2814,1,LTE,REAL PUBLIC DATA
33067819,31.4238,74.2826,1,LTE,REAL PUBLIC DATA
33067828,31.4248,74.2835,1,LTE,REAL PUBLIC DATA
33063169,31.4265,74.2851,1,LTE,REAL PUBLIC DATA
33063171,31.4288,74.2868,1,LTE,REAL PUBLIC DATA
30873857,31.431,74.2878,1,LTE,REAL PUBLIC DATA
30873859,31.4344,74.2894,1,LTE,REAL PUBLIC DATA
30871810,31.4376,74.2913,1,LTE,REAL PUBLIC DATA
33166851,31.4408,74.293,1,LTE,REAL PUBLIC DATA
32440577,31.4427,74.294,1,LTE,REAL PUBLIC DATA
33166849,31.4431,74.2942,1,LTE,REAL PUBLIC DATA
32987400,31.4443,74.2948,1,LTE,REAL PUBLIC DATA
32374530,31.4461,74.2958,1,LTE,REAL PUBLIC DATA
32374531,31.4473,74.2964,1,LTE,REAL PUBLIC DATA
